======================================================================
Line Tracing Algorithm - Statistics for 200 Lines
======================================================================

Path Statistics:
  Total steps: 200
  Unique lines: 200
  Efficiency: 200/200 = 100.0%

Value Statistics:
  Starting value: 788.3722
  Ending value: 779.8989
  Value drop: 8.4733 (1.07%)
  Min value: 777.5781
  Max value: 788.3722
  Mean value: 782.7619

Quality Distribution:
  High quality (>99% of max):   170 lines ( 85.0%)
  Medium quality (95-99% of max):  30 lines ( 15.0%)
  Lower quality (<95% of max):     0 lines (  0.0%)

Angle Coverage:
  Phi range: [1.9deg, 182.1deg]
  Theta range: [0.0deg, 179.8deg]

Detailed Line Data:
Step   Phi (deg)    Theta (deg)    Value     
--------------------------------------------------
0      181.00       9.72           788.3722  
1      18.44        7.92           788.0917  
2      177.40       7.74           788.0609  
3      18.08        9.54           787.8977  
4      181.00       9.90           786.1450  
5      18.80        8.28           786.6547  
6      177.76       7.92           787.7415  
7      18.08        7.56           787.4795  
8      177.04       7.38           787.2020  
9      17.72        9.18           787.7599  
10     180.64       9.00           787.6279  
11     17.36        7.38           787.3891  
12     177.40       7.56           787.7025  
13     17.72        7.74           787.1157  
14     177.76       8.10           787.6943  
15     18.44        7.74           786.7979  
16     177.04       7.20           786.8776  
17     17.36        7.02           785.9589  
18     176.68       7.20           785.8186  
19     17.72        7.92           784.1896  
20     178.12       8.28           786.6317  
21     18.44        8.46           784.4068  
22     178.48       8.82           784.8431  
23     19.16        10.26          786.1865  
24     181.36       10.08          784.9989  
25     18.80        8.10           786.5675  
26     177.40       7.20           786.3271  
27     17.00        7.02           786.1390  
28     177.04       6.84           785.4999  
29     16.64        8.46           785.3600  
30     180.28       8.64           784.7126  
31     17.00        6.84           785.0817  
32     176.68       7.38           785.6092  
33     18.08        9.36           786.0638  
34     180.64       8.82           784.5390  
35     17.00        6.66           784.5170  
36     176.32       6.84           784.1994  
37     17.36        7.56           785.7845  
38     177.76       8.46           785.6105  
39     19.16        8.64           785.3160  
40     178.12       8.10           786.0170  
41     18.08        8.28           782.9141  
42     178.48       8.64           784.6812  
43     18.80        8.46           785.9797  
44     178.12       8.82           783.8928  
45     19.52        9.00           784.5094  
46     178.48       9.18           783.2440  
47     19.88        10.80          782.9435  
48     181.72       10.98          782.5103  
49     20.24        9.54           782.7740  
50     178.84       5.76           784.1172  
51     12.68        5.58           781.5669  
52     178.48       5.22           782.8127  
53     11.96        5.04           779.5153  
54     178.12       9.00           782.3806  
55     19.88        9.36           782.5386  
56     178.84       5.94           784.0081  
57     13.04        6.12           781.7258  
58     179.20       6.48           784.3105  
59     13.76        6.66           780.1089  
60     179.56       7.02           783.0576  
61     14.48        6.84           781.0190  
62     179.20       6.30           783.6752  
63     13.40        6.12           782.3438  
64     178.84       9.18           781.9910  
65     19.52        10.44          784.4180  
66     181.36       9.90           781.9894  
67     18.44        7.56           783.9525  
68     176.68       6.66           784.6014  
69     16.64        7.02           784.6080  
70     177.40       8.28           784.7375  
71     19.16        10.08          782.3104  
72     181.00       9.36           784.1503  
73     17.72        7.02           783.3129  
74     176.32       6.48           783.2894  
75     16.64        6.30           782.4708  
76     175.96       0.18           782.5401  
77     4.40         0.00           783.2458  
78     175.60       179.64         783.9968  
79     3.68         179.46         783.7589  
80     175.24       179.28         784.5571  
81     3.32         179.46         783.8941  
82     175.60       179.82         783.9036  
83     4.04         179.64         782.5429  
84     175.24       179.10         784.0413  
85     2.96         179.28         783.2485  
86     175.60       179.10         782.7621  
87     2.60         178.92         783.6284  
88     175.24       178.74         782.8244  
89     2.24         178.56         781.6489  
90     174.88       179.10         782.6483  
91     3.32         179.64         782.2222  
92     175.96       0.36           782.3032  
93     4.76         0.18           781.5082  
94     175.60       178.92         781.0339  
95     2.24         178.38         780.8636  
96     174.52       178.74         781.9265  
97     2.96         178.92         782.5761  
98     174.88       178.74         782.0569  
99     2.60         178.56         781.4535  
100    174.52       178.92         780.8561  
101    3.32         179.82         779.1399  
102    176.32       7.20           782.3364  
103    18.08        8.64           781.3851  
104    179.20       6.66           783.2238  
105    14.12        6.84           782.1709  
106    179.56       7.20           782.6806  
107    14.84        7.38           780.0683  
108    179.92       7.74           783.1989  
109    15.56        6.12           781.3509  
110    176.68       6.48           783.5962  
111    16.28        8.28           784.1971  
112    180.28       8.82           782.9360  
113    17.36        7.74           782.1990  
114    178.12       9.18           781.3529  
115    20.24        9.36           781.6832  
116    178.48       5.40           782.7696  
117    12.32        5.58           781.6344  
118    178.84       9.00           781.8163  
