======================================================================
Line Tracing Algorithm V2 - Statistics for 1000 Lines
======================================================================

Configuration:
  Input image: images/timik.jpg
  Number of nodes: 200 (spacing: 1.80° apart)
  Graph size: 200 vertices, 19900 edges
  Sinogram angles: 1000
  Recalculate Radon every: Disabled

Performance:
  Load time: 25.91 seconds
  Trace time: 0.06 seconds
  Render time: 0.04 seconds
  Total time: 26.02 seconds
  Lines per second: 15913.98

Path Statistics:
  Total steps: 1000
  Unique lines: 966
  Efficiency: 966/1000 = 96.6%
  MSE vs original: 0.314164

Value Statistics:
  Starting value: 784.9162
  Ending value: 709.1818
  Value drop: 75.7344 (9.65%)
  Min value: 709.1818
  Max value: 784.9162
  Mean value: 735.4595
  Median value: 733.1700

Quality Distribution:
  High quality (>99% of max):     19 lines (  1.9%)
  Medium quality (95-99% of max):  198 lines ( 19.8%)
  Lower quality (<95% of max):    783 lines ( 78.3%)

Angle Coverage:
  Phi range: [0.0deg, 358.2deg]
  Theta range: [0.0deg, 179.1deg]
  Unique phi positions: 68
  Unique theta angles: 89

Sample of traced lines (first 50 and last 50):
Step   Phi (deg)    Theta (deg)    Value     
--------------------------------------------------
0      18.00        8.10           784.9162  
1      16.20        8.10           783.4882  
2      18.00        7.20           783.4092  
3      19.80        9.00           782.8548  
4      16.20        6.30           782.5524  
5      19.80        10.80          781.0291  
6      10.80        4.50           780.6918  
7      23.40        11.70          780.0870  
8      1.80         178.20         780.0472  
9      5.40         0.90           779.3724  
10     3.60         179.10         779.3578  
11     18.00        9.00           778.9907  
12     7.20         1.80           778.7836  
13     14.40        5.40           778.7505  
14     3.60         0.00           778.1109  
15     3.60         0.00           778.1109  
16     176.40       0.00           778.1109  
17     12.60        5.40           778.0246  
18     14.40        7.20           777.1830  
19     12.60        4.50           776.8361  
20     19.80        9.90           776.6479  
21     16.20        7.20           776.1980  
22     9.00         2.70           776.1423  
23     21.60        10.80          776.1106  
24     9.00         3.60           775.3698  
25     9.00         5.40           775.1989  
26     0.00         177.30         775.0933  
27     14.40        9.00           774.6234  
28     14.40        6.30           774.1983  
29     41.40        20.70          774.0820  
30     16.20        9.90           773.9144  
31     43.20        21.60          773.8138  
32     3.60         0.90           773.6224  
33     21.60        9.90           773.5938  
34     10.80        3.60           772.8810  
35     7.20         4.50           772.8359  
36     5.40         0.00           772.4616  
37     5.40         0.00           772.4616  
38     174.60       0.00           772.4616  
39     1.80         179.10         772.4126  
40     12.60        3.60           772.3829  
41     14.40        4.50           772.2493  
42     43.20        22.50          771.9716  
43     18.00        10.80          771.8901  
44     45.00        23.40          771.8113  
45     1.80         177.30         771.7967  
46     19.80        8.10           771.6799  
47     9.00         1.80           771.5760  
48     5.40         1.80           771.4377  
49     7.20         0.90           771.0044  
...
950    18.00        16.20          712.2490  
951    54.00        33.30          712.2349  
952    50.40        25.20          712.2208  
953    43.20        18.00          712.1178  
954    45.00        27.00          711.9879  
955    138.60       144.90         711.8261  
956    52.20        27.00          711.6343  
957    5.40         158.40         711.6044  
958    48.60        36.00          711.5599  
959    52.20        26.10          711.3003  
960    135.00       143.10         711.2583  
961    163.80       171.00         711.2197  
962    133.20       149.40         711.1995  
963    32.40        6.30           711.1867  
964    70.20        53.10          711.1511  
965    50.40        36.90          711.0792  
966    25.20        177.30         711.0515  
967    144.00       151.20         710.9069  
968    46.80        22.50          710.8416  
969    66.60        50.40          710.7442  
970    142.20       149.40         710.7288  
971    3.60         4.50           710.6975  
972    55.80        28.80          710.6356  
973    28.80        1.80           710.6290  
974    43.20        26.10          710.6119  
975    36.00        27.90          710.5162  
976    43.20        32.40          710.4043  
977    54.00        36.00          710.3455  
978    0.00         155.70         710.3021  
979    160.20       167.40         710.3013  
980    30.60        4.50           710.2566  
981    136.80       150.30         710.0172  
982    14.40        12.60          710.0078  
983    136.80       148.50         709.9380  
984    57.60        31.50          709.9350  
985    147.60       153.90         709.9306  
986    167.40       171.00         709.8917  
987    50.40        32.40          709.8256  
988    12.60        10.80          709.8185  
989    50.40        31.50          709.6227  
990    55.80        29.70          709.5917  
991    59.40        36.90          709.4946  
992    57.60        32.40          709.4672  
993    54.00        36.90          709.4393  
994    12.60        11.70          709.4232  
995    151.20       156.60         709.3831  
996    136.80       143.10         709.3799  
997    50.40        33.30          709.2631  
998    68.40        52.20          709.2185  
999    72.00        54.00          709.1818  
