======================================================================
Line Tracing Algorithm V2 - Statistics for 500 Lines
======================================================================

Configuration:
  Input image: images/timik.jpg
  Number of nodes: 200 (spacing: 1.80° apart)
  Graph size: 200 vertices, 19900 edges
  Sinogram angles: 1000
  Recalculate Radon every: 20

Performance:
  Load time: 23.87 seconds
  Trace time: 625.35 seconds
  Render time: 0.05 seconds
  Total time: 649.28 seconds
  Lines per second: 0.80

Path Statistics:
  Total steps: 500
  Unique lines: 488
  Efficiency: 488/500 = 97.6%
  MSE vs original: 0.316053

Value Statistics:
  Starting value: 784.9162
  Ending value: 381.3998
  Value drop: 403.5164 (51.41%)
  Min value: 381.3998
  Max value: 784.9162
  Mean value: 502.0213
  Median value: 462.8698

Quality Distribution:
  High quality (>99% of max):     19 lines (  3.8%)
  Medium quality (95-99% of max):    1 lines (  0.2%)
  Lower quality (<95% of max):    480 lines ( 96.0%)

Angle Coverage:
  Phi range: [0.0deg, 358.2deg]
  Theta range: [0.0deg, 179.1deg]
  Unique phi positions: 47
  Unique theta angles: 79

Sample of traced lines (first 50 and last 50):
Step   Phi (deg)    Theta (deg)    Value     
--------------------------------------------------
0      18.00        8.10           784.9162  
1      16.20        8.10           783.4882  
2      18.00        7.20           783.4092  
3      19.80        9.00           782.8548  
4      16.20        6.30           782.5524  
5      19.80        10.80          781.0291  
6      10.80        4.50           780.6918  
7      23.40        11.70          780.0870  
8      1.80         178.20         780.0472  
9      5.40         0.90           779.3724  
10     3.60         179.10         779.3578  
11     18.00        9.00           778.9907  
12     7.20         1.80           778.7836  
13     14.40        5.40           778.7505  
14     3.60         0.00           778.1109  
15     3.60         0.00           778.1109  
16     176.40       0.00           778.1109  
17     12.60        5.40           778.0246  
18     14.40        7.20           777.1830  
19     12.60        4.50           776.8361  
20     0.00         177.30         712.0152  
21     1.80         179.10         709.3742  
22     1.80         0.00           709.2126  
23     1.80         0.00           709.2126  
24     178.20       0.00           709.2126  
25     3.60         0.90           708.6321  
26     7.20         4.50           707.0085  
27     0.00         178.20         705.8907  
28     9.00         3.60           705.4136  
29     9.00         5.40           704.9913  
30     9.00         2.70           704.5087  
31     0.00         176.40         704.1805  
32     1.80         177.30         703.9046  
33     5.40         1.80           703.8202  
34     5.40         0.00           703.4616  
35     5.40         0.00           703.4616  
36     174.60       0.00           703.4616  
37     5.40         3.60           702.9472  
38     14.40        9.00           702.7529  
39     3.60         178.20         702.3951  
40     113.40       99.00          701.0573  
41     111.60       98.10          700.8383  
42     111.60       97.20          698.1362  
43     108.00       87.30          698.0519  
44     115.20       99.90          697.9532  
45     113.40       98.10          697.8411  
46     109.80       97.20          697.5021  
47     109.80       96.30          697.2255  
48     106.20       86.40          696.6844  
49     111.60       96.30          696.5610  
...
450    102.60       61.20          396.0033  
451    113.40       54.90          395.8455  
452    93.60        57.60          395.4932  
453    97.20        60.30          395.0764  
454    102.60       60.30          394.8141  
455    106.20       62.10          394.4090  
456    117.00       57.60          394.2646  
457    106.20       49.50          393.9684  
458    88.20        40.50          393.5531  
459    104.40       61.20          392.5155  
460    109.80       52.20          392.4786  
461    113.40       63.90          392.3832  
462    95.40        59.40          392.2678  
463    100.80       62.10          391.4276  
464    126.00       64.80          391.2996  
465    120.60       65.70          391.1853  
466    124.20       65.70          391.1112  
467    120.60       60.30          390.6387  
468    117.00       64.80          390.3528  
469    93.60        40.50          390.3157  
470    102.60       62.10          390.1874  
471    106.20       61.20          390.0172  
472    122.40       65.70          389.7986  
473    86.40        41.40          389.2506  
474    95.40        41.40          388.7493  
475    100.80       45.00          388.4244  
476    90.00        53.10          388.1431  
477    126.00       65.70          388.0290  
478    104.40       47.70          387.9198  
479    118.80       58.50          387.3775  
480    115.20       55.80          386.9278  
481    124.20       63.00          386.6629  
482    104.40       62.10          386.5925  
483    84.60        45.00          386.5784  
484    109.80       63.00          385.1449  
485    108.00       50.40          384.8702  
486    111.60       53.10          384.5708  
487    88.20        39.60          384.3143  
488    108.00       63.00          384.1998  
489    108.00       63.90          384.1664  
490    106.20       63.00          383.8878  
491    108.00       62.10          383.8026  
492    21.60        9.00           383.0905  
493    97.20        42.30          383.0685  
494    91.80        55.80          383.0522  
495    25.20        12.60          382.9966  
496    127.80       65.70          382.9581  
497    84.60        42.30          382.6675  
498    126.00       66.60          382.6492  
499    122.40       61.20          381.3998  
