======================================================================
Line Tracing Algorithm V2 - Statistics for 2152 Lines
======================================================================

Configuration:
  Input image: images/timik.jpg
  Number of nodes: 360 (spacing: 1.00° apart)
  Graph size: 360 vertices, 64620 edges
  Sinogram angles: 1000
  Recalculate Radon every: 25

Performance:
  Load time: 26.27 seconds
  Trace time: 2127.01 seconds
  Render time: 0.06 seconds
  Total time: 2153.34 seconds
  Lines per second: 1.01

Path Statistics:
  Total steps: 2152
  Unique lines: 2152
  Efficiency: 2152/2152 = 100.0%
  MSE vs original: 0.292355

Value Statistics:
  Starting value: 787.1708
  Ending value: 50.0479
  Value drop: 737.1230 (93.64%)
  Min value: 50.0479
  Max value: 787.1708
  Mean value: 307.0660
  Median value: 250.2923

Quality Distribution:
  High quality (>99% of max):     26 lines (  1.2%)
  Medium quality (95-99% of max):   76 lines (  3.5%)
  Lower quality (<95% of max):   2050 lines ( 95.3%)

Angle Coverage:
  Phi range: [4.0deg, 233.0deg]
  Theta range: [76.5deg, 148.5deg]
  Unique phi positions: 194
  Unique theta angles: 145

Sample of traced lines (first 50 and last 50):
Step   Phi (deg)    Theta (deg)    Value     
--------------------------------------------------
0      108.00       97.50          787.1708  
1      109.00       98.50          785.9317  
2      107.00       97.00          785.9304  
3      109.00       100.00         785.6684  
4      108.00       98.00          785.5554  
5      108.00       99.50          784.8798  
6      106.00       98.00          783.7949  
7      109.00       98.00          783.7125  
8      103.00       96.00          782.9887  
9      86.00        89.50          782.6973  
10     107.00       96.50          782.6083  
11     106.00       96.50          782.3545  
12     85.00        89.00          782.3030  
13     110.00       99.00          782.2514  
14     104.00       96.50          782.2513  
15     111.00       100.00         781.9382  
16     94.00        90.00          781.5844  
17     95.00        90.50          781.3578  
18     110.00       99.50          781.0501  
19     101.00       94.50          780.8581  
20     85.00        88.50          780.7490  
21     108.00       98.50          780.6832  
22     106.00       96.00          780.6583  
23     100.00       94.00          780.5062  
24     107.00       98.50          780.4464  
25     108.00       97.00          780.2060  
26     96.00        91.00          778.9900  
27     105.00       95.50          778.7591  
28     104.00       95.00          778.1371  
29     103.00       94.50          777.0855  
30     97.00        91.50          776.8001  
31     99.00        92.50          775.9416  
32     105.00       95.00          775.5708  
33     102.00       94.00          775.4135  
34     102.00       93.50          774.5414  
35     98.00        92.00          774.4775  
36     104.00       94.50          774.1827  
37     100.00       93.00          774.0441  
38     103.00       94.00          773.9991  
39     106.00       95.50          773.7841  
40     109.00       97.50          773.6857  
41     97.00        91.00          773.3043  
42     101.00       93.50          773.1160  
43     99.00        92.00          773.0034  
44     96.00        90.50          772.9454  
45     101.00       93.00          772.5779  
46     98.00        91.50          772.5540  
47     100.00       92.50          772.2858  
48     108.00       96.50          771.6513  
49     98.00        91.00          771.1012  
...
2102   171.00       91.50          53.0627   
2103   227.00       145.00         53.0616   
2104   204.00       133.00         52.9934   
2105   230.00       148.00         52.9911   
2106   218.00       140.50         52.8641   
2107   123.00       104.00         52.8031   
2108   214.00       138.00         52.7987   
2109   232.00       148.00         52.7868   
2110   208.00       139.50         52.7441   
2111   230.00       146.50         52.6326   
2112   193.00       132.50         52.5786   
2113   212.00       141.50         52.5390   
2114   228.00       145.50         52.5159   
2115   225.00       146.00         52.4992   
2116   198.00       131.00         52.4739   
2117   135.00       94.50          52.4018   
2118   141.00       93.50          52.3073   
2119   212.00       137.00         52.2644   
2120   201.00       136.00         52.1588   
2121   170.00       90.00          52.1039   
2122   201.00       132.00         52.0862   
2123   208.00       135.00         52.0522   
2124   217.00       143.50         52.0221   
2125   225.00       144.00         51.9046   
2126   10.00        89.50          51.8977   
2127   171.00       91.00          51.8958   
2128   207.00       139.00         51.8917   
2129   231.00       148.50         51.6610   
2130   232.00       147.50         51.5228   
2131   224.00       146.00         51.5040   
2132   207.00       134.50         51.4928   
2133   222.00       145.50         51.3435   
2134   143.00       107.50         51.3300   
2135   203.00       132.50         51.2453   
2136   228.00       147.50         51.2144   
2137   209.00       140.00         51.1673   
2138   203.00       137.00         51.0686   
2139   213.00       142.00         50.9770   
2140   172.00       92.00          50.9191   
2141   141.00       106.50         50.8494   
2142   136.00       95.50          50.7920   
2143   199.00       131.50         50.6861   
2144   232.00       148.50         50.6855   
2145   227.00       147.00         50.6523   
2146   229.00       148.00         50.5705   
2147   233.00       148.50         50.5312   
2148   230.00       148.50         50.3612   
2149   233.00       148.00         50.2892   
2150   202.00       136.50         50.1348   
2151   143.00       93.50          50.0479   
