======================================================================
Line Tracing Algorithm V2 - Statistics for 1000 Lines
======================================================================

Configuration:
  Input image: images/timik.jpg
  Number of nodes: 60 (spacing: 6.00° apart)
  Graph size: 60 vertices, 1770 edges
  Sinogram angles: 1000
  Recalculate Radon every: 10

Performance:
  Load time: 23.80 seconds
  Trace time: 2416.30 seconds
  Render time: 0.05 seconds
  Total time: 2440.15 seconds
  Lines per second: 0.41

Path Statistics:
  Total steps: 1000
  Unique lines: 964
  Efficiency: 964/1000 = 96.4%
  MSE vs original: 0.316434

Value Statistics:
  Starting value: 778.9907
  Ending value: -2128.9438
  Value drop: 2907.9346 (373.30%)
  Min value: -2547.8745
  Max value: 778.9907
  Mean value: -348.7565
  Median value: -6.2914

Quality Distribution:
  High quality (>99% of max):      4 lines (  0.4%)
  Medium quality (95-99% of max):    5 lines (  0.5%)
  Lower quality (<95% of max):    991 lines ( 99.1%)

Angle Coverage:
  Phi range: [0.0deg, 354.0deg]
  Theta range: [0.0deg, 180.0deg]
  Unique phi positions: 60
  Unique theta angles: 61

Sample of traced lines (first 50 and last 50):
Step   Phi (deg)    Theta (deg)    Value     
--------------------------------------------------
0      18.00        9.00           778.9907  
1      180.00       12.00          777.9062  
2      24.00        15.00          754.8362  
3      186.00       12.00          764.8152  
4      18.00        6.00           763.3630  
5      174.00       177.00         776.1619  
6      0.00         0.00           748.2736  
7      0.00         0.00           748.2736  
8      180.00       21.00          775.7958  
9      42.00        30.00          739.5288  
10     198.00       33.00          667.9286  
11     48.00        27.00          682.0793  
12     186.00       18.00          702.7704  
13     30.00        15.00          696.8237  
14     180.00       6.00           709.9918  
15     12.00        3.00           716.9706  
16     174.00       180.00         717.0277  
17     6.00         0.00           717.0277  
18     6.00         3.00           707.7911  
19     180.00       0.00           702.2736  
20     180.00       177.00         629.7356  
21     354.00       174.00         659.4228  
22     174.00       0.00           664.2548  
23     174.00       9.00           638.9413  
24     24.00        6.00           635.9726  
25     168.00       3.00           648.7973  
26     18.00        0.00           649.0294  
27     18.00        0.00           649.0294  
28     162.00       0.00           649.0294  
29     162.00       177.00         639.2062  
30     12.00        174.00         605.2084  
31     156.00       171.00         593.9966  
32     6.00         168.00         601.1296  
33     150.00       174.00         594.3453  
34     18.00        171.00         606.7094  
35     144.00       165.00         595.3823  
36     6.00         162.00         594.0505  
37     138.00       108.00         628.6587  
38     258.00       96.00          671.0349  
39     114.00       90.00          674.0510  
40     246.00       87.00          685.3544  
41     108.00       84.00          662.8073  
42     240.00       81.00          670.5287  
43     102.00       84.00          676.2296  
44     246.00       81.00          650.6401  
45     96.00        75.00          657.9826  
46     234.00       78.00          660.0885  
47     102.00       87.00          645.3409  
48     252.00       90.00          651.8336  
49     108.00       93.00          651.8198  
...
950    216.00       141.00         -1973.9318
951    246.00       132.00         -1894.7106
952    198.00       135.00         -2092.9995
953    252.00       147.00         -2077.7156
954    222.00       150.00         -2420.4773
955    258.00       3.00           -2237.2617
956    288.00       30.00          -1995.1403
957    312.00       54.00          -2023.1586
958    336.00       150.00         -2058.9729
959    144.00       147.00         -2136.1042
960    330.00       72.00          -1731.5938
961    354.00       99.00          -1857.1998
962    24.00        135.00         -1861.5236
963    66.00        132.00         -2243.8354
964    18.00        126.00         -1956.8419
965    54.00        123.00         -2252.4429
966    12.00        150.00         -1951.0847
967    108.00       147.00         -2079.5354
968    6.00         81.00          -2123.6709
969    336.00       153.00         -2121.1680
970    150.00       123.00         -1968.0125
971    276.00       18.00          -2002.2657
972    300.00       15.00          -2184.9373
973    270.00       126.00         -2029.9653
974    162.00       168.00         -1892.0468
975    354.00       150.00         -2001.5658
976    126.00       114.00         -2035.8033
977    282.00       24.00          -2037.8462
978    306.00       48.00          -1950.9442
979    330.00       75.00          -2109.5635
980    0.00         144.00         -2238.8049
981    108.00       102.00         -2146.3511
982    276.00       171.00         -2189.5935
983    246.00       69.00          -2390.5691
984    72.00        135.00         -2211.4646
985    18.00        93.00          -1986.0939
986    348.00       165.00         -1978.6576
987    162.00       162.00         -2160.1082
988    342.00       87.00          -2061.9922
989    12.00        147.00         -2039.5032
990    102.00       144.00         -2281.7051
991    6.00         138.00         -2297.3831
992    90.00        141.00         -2097.0088
993    12.00        120.00         -2118.2866
994    48.00        117.00         -2547.8745
995    6.00         114.00         -2314.4863
996    42.00        39.00          -2240.4062
997    216.00       144.00         -2246.4902
998    252.00       177.00         -2255.4631
999    282.00       111.00         -2128.9438
